País,Fecha de estudio,Enfermedad,Categoría,Ratios,Rango edad,Género,Tipo de tratamiento,Coste medio tratamiento (USD),Disponibilidad de vacuna/tratamiento
Argentina,23/09/2020,Hipertensión,Crónica,4.94;53.33,61+,Femenino,Terapia,28760,N
Arabia Saudita,25/03/2024,Asma,Metabólica,4.59;77.74,0 - 18,Ambos,Cirugía,7574,S
Turquía,05/10/2024,Zika,Autoinmune,4.55;52.63,19 - 35,Masculino,Medicación,17023,N
China,19/11/2021,Hepatitis,Genética,4.53;83.12,35+,Masculino,Terapia,5254,S
México,30/10/2021,Tuberculosis,Parasitaria,4.47;80.93,18+,Femenino,Terapia,39456,S
Alemania,10/04/2020,Asma,Cardiovascular,4.45;93.37,19 - 35,Ambos,Terapia,44406,S
Indonesia,30/10/2024,Cólera,Respiratoria,4.38;58.44,0 - 18,Femenino,Medicación,45578,S
México,22/12/2021,Cólera,Genética,4.34;89.08,61+,Femenino,Medicación,35640,N
Nigeria,24/01/2024,Hipertensión,Parasitaria,4.29;94.31,18+,Femenino,Terapia,18077,S
Turquía,25/11/2022,Lepra,Viral,3.96;58.86,36 - 60,Masculino,Cirugía,39357,S
Rusia,15/10/2022,Hipertensión,Crónica,3.51;70.97,0 - 18,Ambos,Terapia,13411,S
Reino Unido,27/03/2023,Zika,Metabólica,3.04;57.24,36 - 60,Masculino,Medicación,28846,S
Italia,04/09/2020,Dengue,Autoinmune,2.97;66.42,0 - 18,Femenino,Medicación,37971,N
Rusia,01/01/2020,Sarampión,Neurológica,2.92;83,0 - 18,Masculino,Terapia,48229,S
EEUU,13/05/2024,Cólera,Autoinmune,2.81;71.06,19 - 35,Femenino,Cirugía,24865,S
México,03/06/2021,Zika,Cardiovascular,2.81;52.45,0 - 18,Ambos,Cirugía,9653,N
Argentina,11/08/2022,Asma,Parasitaria,2.79;61.52,19 - 35,Masculino,Cirugía,4558,N
Canadá,16/06/2020,COVID-19,Bacteriana,2.22;68.46,36 - 60,Masculino,Terapia,41563,N
México,11/04/2024,Poliomielitis,Respiratoria,2.2;70.35,0 - 18,Masculino,Terapia,9176,S
Indonesia,13/09/2023,Enfermedad de Parkinson,Metabólica,2.09;93.48,0 - 18,Femenino,Cirugía,25240,S
México,25/02/2021,Ébola,Infecciosa,2.02;92.07,61+,Femenino,Vacunación,48024,S
Italia,28/07/2024,Poliomielitis,Genética,1.99;83.36,20+,Femenino,Cirugía,9670,N
Sudáfrica,10/07/2024,Enfermedad de Parkinson,Respiratoria,1.86;55.82,36 - 60,Femenino,Terapia,39122,S
Alemania,11/06/2021,Tuberculosis,Parasitaria,1.78;74.99,0 - 18,Ambos,Terapia,8674,N
Turquía,12/12/2021,Malaria,Respiratoria,1.19;98.06,36 - 60,Masculino,Vacunación,2426,N
EEUU,10/03/2024,Asma,Metabólica,0.96;53.34,0 - 18,Ambos,Medicación,36970,N
China,16/12/2020,Sarampión,Infecciosa,0.79;83.38,61+,Ambos,Vacunación,49397,N
Korea del Sur,09/08/2021,Lepra,Bacteriana,0.78;94.15,61+,Masculino,Cirugía,226,S
Francia,25/03/2023,Sarampión,Cardiovascular,0.67;52.25,19 - 35,Ambos,Vacunación,44918,S
Korea del Sur,03/02/2023,Rabia,Viral,0.46;67.96,19 - 35,Ambos,Cirugía,35064,N
Turquía,03/11/2024,Ébola,Cardiovascular,0.27;89.16,36 - 60,Femenino,Terapia,27187,N
Argentina,06/08/2021,Malaria,Cardiovascular,0.12;65.96,0 - 18,Femenino,Medicación,3646,S
Sudáfrica,05/07/2023,Poliomielitis,Autoinmune,9.99;79.39,19 - 35,Femenino,Medicación,48740,S
Brasil,05/01/2022,Diabetes,Neurológica,9.82;67.47,0 - 18,Femenino,Medicación,4951,S
Rusia,07/10/2023,Asma,Crónica,9.42;55.79,61+,Ambos,Terapia,44716,N
Turquía,06/01/2022,Gripe,Parasitaria,8.83;75.79,0 - 18,Ambos,Vacunación,13946,N
Brasil,22/08/2021,Malaria,Bacteriana,8.66;97.27,36 - 60,Ambos,Medicación,47336,S
China,03/09/2024,Tuberculosis,Cardiovascular,8.19;80.73,36 - 60,Femenino,Medicación,48728,N
Arabia Saudita,19/01/2020,Enfermedad de Alzheimer,Infecciosa,7.81;78.98,61+,Femenino,Terapia,16964,S
Korea del Sur,23/10/2024,Malaria,Viral,7.77;85.14,36 - 60,Ambos,Vacunación,41566,S
México,06/11/2021,Hepatitis,Viral,7.75;92.05,0 - 18,Femenino,Vacunación,26853,S
Australia,30/08/2020,Hipertensión,Respiratoria,7.69;55.68,36 - 60,Ambos,Medicación,35170,S
México,23/04/2021,Asma,Neurológica,7.5;63.25,0 - 18,Femenino,Vacunación,15697,S
Australia,10/03/2023,COVID-19,Infecciosa,6.85;72.83,35+,Ambos,Vacunación,174,S
China,15/01/2020,Hepatitis,Metabólica,6.55;81.04,36 - 60,Femenino,Medicación,16701,S
Canadá,22/10/2020,Poliomielitis,Infecciosa,6.25;93.52,61+,Masculino,Cirugía,39879,N
China,22/06/2023,VIH/SIDA,Crónica,6.18;77.35,61+,Masculino,Vacunación,41753,N
Alemania,03/02/2020,Zika,Respiratoria,6.14;64.56,19 - 35,Masculino,Terapia,44890,N
EEUU,16/03/2022,Cáncer,Autoinmune,6.12;54.29,61+,Femenino,Terapia,20685,S
Japón,31/12/2024,Ébola,Metabólica,5.86;83.17,36 - 60,Masculino,Terapia,408,S
Turquía,23/04/2020,Diabetes,Neurológica,5.13;87.85,61+,Femenino,Cirugía,49496,S
Canadá,20/12/2024,Lepra,Crónica,5.1;55.64,35+,Ambos,Terapia,29848,S
Rusia,09/05/2024,COVID-19,Parasitaria,4.95;52.73,0 - 18,Femenino,Medicación,19905,N
Sudáfrica,24/05/2020,Malaria,Viral,4.77;56.25,61+,Femenino,Vacunación,28325,S
Sudáfrica,26/10/2020,Diabetes,Infecciosa,4.45;87.55,18+,Femenino,Medicación,19831,S
Canadá,05/09/2022,Ébola,Metabólica,4.34;76.09,18+,Ambos,Medicación,27343,S
México,10/11/2022,Enfermedad de Alzheimer,Metabólica,4.3;91.28,36 - 60,Femenino,Cirugía,40582,N
EEUU,28/11/2023,Poliomielitis,Genética,4;81.5,36 - 60,Masculino,Cirugía,20955,S
México,06/01/2021,Cólera,Crónica,3.87;82.51,36 - 60,Ambos,Cirugía,3351,N
Rusia,03/07/2020,Poliomielitis,Infecciosa,3.8;75.47,36 - 60,Masculino,Terapia,27355,N
Rusia,31/08/2022,COVID-19,Bacteriana,3.52;93.23,36 - 60,Ambos,Cirugía,35507,N
Rusia,03/10/2021,Poliomielitis,Bacteriana,3.44;56.98,61+,Femenino,Medicación,23706,S
Italia,19/02/2024,Gripe,Crónica,3.31;75.3,35+,Femenino,Vacunación,4011,S
México,04/12/2020,Hepatitis,Bacteriana,3.13;77.86,61+,Masculino,Terapia,9625,N
China,03/11/2024,Cólera,Bacteriana,2.96;72.59,0 - 18,Femenino,Vacunación,16692,S
Italia,24/12/2021,Tuberculosis,Autoinmune,2.77;66.71,61+,Masculino,Vacunación,28881,S
Argentina,03/06/2020,Zika,Respiratoria,2.73;77.35,18+,Masculino,Vacunación,36951,S
Rusia,01/06/2020,Tuberculosis,Viral,2.37;65.06,36 - 60,Femenino,Vacunación,36336,S
China,12/08/2024,Lepra,Autoinmune,1.91;62.43,0 - 18,Masculino,Terapia,2811,N
Japón,23/02/2022,Lepra,Respiratoria,1.7;79.91,0 - 18,Masculino,Vacunación,30500,N
China,10/06/2021,Tuberculosis,Viral,1.54;63.92,18+,Ambos,Vacunación,103,N
Rusia,15/03/2022,Zika,Parasitaria,1.15;67.82,0 - 18,Masculino,Medicación,43887,S
Sudáfrica,02/07/2020,Poliomielitis,Infecciosa,0.93;72.67,36 - 60,Masculino,Terapia,13871,S
Indonesia,06/02/2021,Poliomielitis,Respiratoria,0.87;53.13,36 - 60,Ambos,Medicación,25365,S
Reino Unido,03/10/2020,Diabetes,Genética,0.54;93.38,18+,Femenino,Vacunación,38743,S
Alemania,09/07/2022,Dengue,Neurológica,0.5;79.6,0 - 18,Femenino,Medicación,31794,S
Reino Unido,17/05/2023,Gripe,Parasitaria,0.28;80.28,19 - 35,Ambos,Terapia,40224,N
Italia,01/01/2024,Diabetes,Infecciosa,9.21;72.43,61+,Masculino,Terapia,23608,N
China,19/03/2024,Dengue,Bacteriana,8.89;66.52,19 - 35,Femenino,Terapia,40536,S
Francia,18/05/2024,Zika,Crónica,8.51;72.09,36 - 60,Ambos,Terapia,25283,N
Argentina,02/08/2021,Malaria,Infecciosa,8.26;79.25,0 - 18,Ambos,Terapia,45814,N
Reino Unido,02/04/2024,Zika,Infecciosa,8.18;83.72,36 - 60,Masculino,Cirugía,48505,S
India,04/11/2024,Hipertensión,Autoinmune,8.04;72.37,0 - 18,Masculino,Terapia,49117,S
Sudáfrica,15/02/2021,Dengue,Viral,7.52;66.83,36 - 60,Femenino,Medicación,39917,S
Francia,08/11/2024,Lepra,Bacteriana,7.04;50.02,61+,Ambos,Medicación,38998,N
India,03/11/2022,Dengue,Autoinmune,6.92;84.44,19 - 35,Ambos,Terapia,40256,N
EEUU,27/07/2021,Hipertensión,Crónica,6.84;53.61,61+,Femenino,Vacunación,26649,S
Reino Unido,09/10/2024,Enfermedad de Alzheimer,Cardiovascular,6.83;63.11,61+,Ambos,Cirugía,35624,S
Nigeria,25/12/2024,Enfermedad de Alzheimer,Viral,6.41;64.03,61+,Masculino,Terapia,46298,N
China,27/02/2020,VIH/SIDA,Genética,6.11;90.98,61+,Ambos,Cirugía,19533,S
Nigeria,19/01/2021,Malaria,Autoinmune,6;79.06,36 - 60,Masculino,Cirugía,10650,N
Arabia Saudita,16/05/2023,Rabia,Neurológica,4.83;63.92,19 - 35,Ambos,Cirugía,30812,S
China,30/11/2021,Tuberculosis,Respiratoria,4.7;59.8,18+,Ambos,Terapia,23040,N
Reino Unido,16/04/2022,Ébola,Cardiovascular,3.84;76.62,0 - 18,Masculino,Cirugía,14160,N
Japón,24/10/2020,Diabetes,Bacteriana,3.36;61.85,36 - 60,Ambos,Medicación,48460,S
Canadá,20/10/2021,Hepatitis,Viral,3.24;81.99,36 - 60,Ambos,Vacunación,33490,N
Arabia Saudita,19/10/2023,Hipertensión,Neurológica,2.65;72.47,0 - 18,Masculino,Terapia,29977,S
Canadá,01/10/2020,Rabia,Parasitaria,2.17;72.31,18+,Femenino,Cirugía,6446,N
Rusia,09/05/2024,Enfermedad de Parkinson,Parasitaria,2.15;83.86,36 - 60,Femenino,Cirugía,22485,N
EEUU,28/12/2024,Diabetes,Bacteriana,2.1;70.78,61+,Femenino,Vacunación,6225,S
México,16/11/2024,VIH/SIDA,Parasitaria,2;86.05,19 - 35,Ambos,Medicación,24506,S
China,29/11/2021,Sarampión,Autoinmune,1.74;66.01,61+,Ambos,Medicación,21093,N
Nigeria,10/10/2023,Cáncer,Infecciosa,1.53;56.06,0 - 18,Femenino,Medicación,33235,N
Rusia,27/04/2023,Lepra,Infecciosa,1.21;75.19,0 - 18,Femenino,Cirugía,6445,S
Nigeria,03/03/2022,Rabia,Parasitaria,0.95;74.11,61+,Femenino,Cirugía,19614,S
Korea del Sur,27/07/2020,Hipertensión,Neurológica,0.36;71.43,61+,Femenino,Medicación,46882,N
Alemania,14/09/2023,Hipertensión,Cardiovascular,0.29;83.35,18+,Femenino,Vacunación,876,N
Alemania,19/04/2023,Tuberculosis,Neurológica,9.34;84.77,19 - 35,Femenino,Cirugía,43217,S
EEUU,17/03/2021,Poliomielitis,Respiratoria,8.51;97.05,61+,Ambos,Medicación,45472,S
Japón,04/10/2023,Lepra,Metabólica,8.38;77,61+,Ambos,Vacunación,34164,S
Reino Unido,04/12/2020,COVID-19,Cardiovascular,7.36;71.09,0 - 18,Ambos,Medicación,13295,N
EEUU,11/05/2020,Dengue,Metabólica,7.04;58.47,61+,Ambos,Vacunación,810,N
Nigeria,20/05/2024,Hepatitis,Autoinmune,5.92;62.81,0 - 18,Femenino,Cirugía,13390,S
Sudáfrica,13/08/2023,Enfermedad de Alzheimer,Bacteriana,5.89;70.99,19 - 35,Femenino,Medicación,14948,S
Japón,18/08/2023,Tuberculosis,Bacteriana,5.59;68.64,0 - 18,Femenino,Cirugía,31522,N
Rusia,04/08/2021,Gripe,Parasitaria,5.19;92.08,61+,Masculino,Terapia,32893,N
Turquía,27/02/2024,Hepatitis,Neurológica,4.57;59.32,35+,Ambos,Cirugía,21928,N
Alemania,23/02/2023,Sarampión,Bacteriana,4.41;62.18,61+,Ambos,Vacunación,20658,S
Indonesia,05/05/2020,Ébola,Cardiovascular,4.35;75.07,61+,Ambos,Medicación,17646,N
México,15/08/2021,Sarampión,Respiratoria,4.25;77.2,19 - 35,Femenino,Vacunación,3589,N
Argentina,24/05/2024,Rabia,Respiratoria,3.25;90.03,19 - 35,Ambos,Cirugía,12468,N
Indonesia,16/02/2020,Hipertensión,Autoinmune,3.24;70.85,0 - 18,Femenino,Cirugía,39562,N
China,19/10/2024,Lepra,Viral,3.01;94.82,35+,Ambos,Vacunación,23168,S
Italia,11/11/2021,Dengue,Viral,2.5;69.94,61+,Femenino,Medicación,8414,S
Canadá,02/01/2022,Cólera,Crónica,2.37;88.89,19 - 35,Masculino,Vacunación,42220,S
Brasil,04/03/2024,Zika,Parasitaria,0.73;96.82,61+,Femenino,Cirugía,24472,N
EEUU,12/03/2024,Ébola,Genética,0.65;82.33,0 - 18,Ambos,Cirugía,46550,N
Alemania,07/02/2024,Enfermedad de Parkinson,Cardiovascular,0.57;51.52,61+,Femenino,Vacunación,19712,S
Turquía,05/08/2020,Enfermedad de Parkinson,Autoinmune,0.52;77.48,18+,Masculino,Cirugía,8610,S
Turquía,27/07/2024,Zika,Infecciosa,0.11;61.57,19 - 35,Femenino,Cirugía,42740,S
Francia,18/02/2024,Cólera,Viral,9.26;82.17,0 - 18,Ambos,Vacunación,35947,N
Sudáfrica,11/05/2022,Asma,Autoinmune,8.87;95.06,36 - 60,Masculino,Cirugía,43220,S
Reino Unido,29/11/2024,Sarampión,Metabólica,8.86;70.95,19 - 35,Ambos,Cirugía,42553,N
Italia,14/08/2020,Cólera,Crónica,7.72;92.69,61+,Ambos,Medicación,15618,N
Turquía,14/08/2024,Ébola,Autoinmune,7.68;54.55,36 - 60,Ambos,Vacunación,28243,N
México,04/07/2022,Cáncer,Parasitaria,7.48;75,61+,Femenino,Terapia,33382,N
Francia,18/11/2023,Enfermedad de Parkinson,Genética,6.96;65.57,19 - 35,Femenino,Terapia,48065,S
Brasil,22/04/2023,Dengue,Respiratoria,6.58;93.63,19 - 35,Femenino,Terapia,3886,S
Reino Unido,08/03/2020,Hipertensión,Infecciosa,6.41;71.31,36 - 60,Masculino,Medicación,4170,N
Argentina,14/04/2024,Enfermedad de Alzheimer,Bacteriana,6.37;88.84,61+,Ambos,Cirugía,14511,N
Korea del Sur,05/03/2020,Gripe,Bacteriana,6.11;91.84,0 - 18,Femenino,Vacunación,3174,N
Indonesia,02/06/2020,Cáncer,Viral,6.05;58.7,0 - 18,Masculino,Terapia,11717,N
Turquía,03/03/2024,Enfermedad de Alzheimer,Cardiovascular,5.92;92.7,19 - 35,Femenino,Cirugía,5431,N
India,07/09/2021,Poliomielitis,Neurológica,5.14;54.23,36 - 60,Ambos,Vacunación,2921,N
Korea del Sur,29/04/2021,Zika,Neurológica,4.7;73.69,19 - 35,Masculino,Medicación,39757,N
Canadá,15/05/2023,Ébola,Respiratoria,4.32;80.41,0 - 18,Masculino,Cirugía,33208,N
México,09/12/2024,Tuberculosis,Respiratoria,3.84;77.71,36 - 60,Femenino,Vacunación,13758,S
Turquía,12/12/2022,Zika,Viral,2.87;50.1,19 - 35,Ambos,Terapia,31515,N
Indonesia,01/05/2024,Hipertensión,Respiratoria,2.82;88.54,61+,Femenino,Terapia,24150,N
Canadá,07/12/2022,Enfermedad de Alzheimer,Parasitaria,2.01;80.63,19 - 35,Femenino,Terapia,25824,S
Turquía,05/05/2023,VIH/SIDA,Neurológica,1.01;55.85,0 - 18,Ambos,Terapia,41892,N
Brasil,26/04/2021,VIH/SIDA,Autoinmune,0.2;66.24,0 - 18,Femenino,Terapia,38012,N
Japón,14/12/2022,Hepatitis,Bacteriana,9.94;76.42,36 - 60,Ambos,Cirugía,6126,N
Korea del Sur,31/03/2021,Lepra,Bacteriana,9.36;65.9,36 - 60,Femenino,Medicación,24797,N
Reino Unido,29/03/2023,Dengue,Metabólica,8.81;51.96,36 - 60,Masculino,Vacunación,389,S
Korea del Sur,12/07/2021,Diabetes,Bacteriana,8.13;92.63,19 - 35,Femenino,Medicación,45590,N
Alemania,30/07/2022,Cáncer,Metabólica,7.84;60.41,19 - 35,Femenino,Cirugía,49346,S
Francia,26/09/2022,Cáncer,Viral,7.28;67.57,0 - 18,Ambos,Medicación,2601,N
Alemania,08/07/2022,Diabetes,Autoinmune,7.23;51.32,20+,Femenino,Cirugía,39341,N
Japón,03/09/2023,Rabia,Autoinmune,7.07;84.02,19 - 35,Masculino,Terapia,6965,S
China,26/01/2024,Rabia,Viral,4.32;50.73,36 - 60,Ambos,Terapia,20726,S
China,07/02/2020,Poliomielitis,Crónica,3.56;98.61,35+,Ambos,Medicación,35752,S
Alemania,08/03/2024,COVID-19,Autoinmune,2.52;66.75,19 - 35,Ambos,Medicación,40299,N
Reino Unido,08/04/2020,Dengue,Parasitaria,1.77;67.77,35+,Masculino,Medicación,17985,N
Francia,26/06/2021,Ébola,Viral,1.69;90.96,0 - 18,Masculino,Medicación,17619,N
Turquía,01/03/2020,Enfermedad de Parkinson,Metabólica,1.63;85.29,19 - 35,Femenino,Cirugía,22707,S
Francia,24/05/2020,Hipertensión,Infecciosa,1.52;56.28,61+,Masculino,Cirugía,36986,S
Canadá,25/04/2023,Zika,Parasitaria,1.38;66.73,61+,Masculino,Vacunación,10486,N
Japón,18/07/2022,Zika,Autoinmune,1.13;95.04,61+,Ambos,Terapia,26711,N
Italia,20/10/2020,Hipertensión,Infecciosa,1.02;71.32,0 - 18,Femenino,Cirugía,22445,N
Argentina,30/12/2021,Hipertensión,Autoinmune,1.01;50.48,0 - 18,Masculino,Vacunación,8377,N
Canadá,28/04/2023,Hepatitis,Parasitaria,0.94;55.81,0 - 18,Femenino,Terapia,3675,N
Brasil,04/04/2023,Hepatitis,Respiratoria,9.39;96.8,0 - 18,Masculino,Cirugía,13361,N
Arabia Saudita,27/01/2020,Sarampión,Respiratoria,8.54;70.04,61+,Ambos,Terapia,36905,N
Indonesia,13/03/2023,COVID-19,Autoinmune,7.26;54.65,0 - 18,Masculino,Vacunación,2507,S
Reino Unido,13/04/2021,Hipertensión,Metabólica,6.39;83.11,61+,Femenino,Medicación,25711,N
Canadá,30/12/2024,Sarampión,Viral,6.35;54.13,61+,Ambos,Vacunación,35299,N
Nigeria,05/08/2023,Asma,Viral,6.17;65.71,36 - 60,Ambos,Medicación,7525,N
Italia,28/02/2020,Poliomielitis,Infecciosa,6.12;57.1,61+,Femenino,Cirugía,5763,S
Rusia,15/01/2022,Hepatitis,Cardiovascular,5.82;78.61,19 - 35,Ambos,Cirugía,2154,S
Alemania,18/10/2021,Dengue,Metabólica,4.28;75.76,36 - 60,Ambos,Medicación,30206,N
Rusia,01/10/2024,Tuberculosis,Cardiovascular,3.04;67.94,19 - 35,Femenino,Cirugía,30158,N
Reino Unido,03/06/2024,Tuberculosis,Genética,1.05;75.78,19 - 35,Masculino,Terapia,46010,S
Korea del Sur,27/02/2022,Dengue,Autoinmune,0.83;62.74,36 - 60,Femenino,Cirugía,13168,S
Reino Unido,24/11/2023,Dengue,Genética,0.72;75.92,61+,Masculino,Vacunación,6491,N
EEUU,12/06/2020,Cólera,Metabólica,7.22;77.9,19 - 35,Ambos,Medicación,28095,S
Australia,07/05/2021,Dengue,Crónica,6.36;71.9,36 - 60,Ambos,Medicación,24242,N
India,29/04/2024,Lepra,Parasitaria,5.46;75.47,61+,Ambos,Vacunación,1156,S
Alemania,25/12/2020,Hipertensión,Crónica,5.22;54.49,35+,Ambos,Cirugía,8677,N
China,01/03/2021,Poliomielitis,Viral,3.31;58.26,61+,Ambos,Medicación,14385,N
Reino Unido,20/06/2023,Rabia,Parasitaria,2.65;75.89,61+,Masculino,Vacunación,826,S
Japón,28/04/2023,Cáncer,Autoinmune,1.96;84.97,0 - 18,Femenino,Cirugía,44123,S
Argentina,27/04/2021,Cáncer,Neurológica,1.75;85.32,36 - 60,Femenino,Vacunación,34185,N
Canadá,08/02/2021,Hepatitis,Viral,1.44;55.86,19 - 35,Masculino,Vacunación,1713,S
Canadá,17/09/2020,Gripe,Parasitaria,6.91;61.65,61+,Masculino,Medicación,2620,N
Canadá,10/11/2020,Enfermedad de Parkinson,Viral,6.04;77.3,19 - 35,Femenino,Terapia,16644,S
Arabia Saudita,22/01/2021,Ébola,Autoinmune,5.4;76.57,36 - 60,Ambos,Cirugía,27180,S
Alemania,29/10/2023,Cólera,Autoinmune,4.3;83.06,61+,Masculino,Medicación,43685,S
Arabia Saudita,11/03/2021,Cólera,Autoinmune,3.92;84.9,36 - 60,Femenino,Terapia,31653,S
Australia,01/08/2024,Dengue,Crónica,3.89;86.5,61+,Ambos,Medicación,13416,S
Sudáfrica,27/03/2022,Gripe,Genética,8.05;86.3,0 - 18,Femenino,Medicación,6470,N
Australia,10/09/2020,Tuberculosis,Neurológica,6.56;53.79,36 - 60,Femenino,Terapia,36041,S
Sudáfrica,06/06/2023,Ébola,Cardiovascular,2.81;84.01,0 - 18,Ambos,Medicación,43520,S
Arabia Saudita,18/09/2021,Zika,Respiratoria,2.34;88.24,19 - 35,Femenino,Terapia,6894,N
Francia,27/06/2021,Poliomielitis,Parasitaria,1.37;58.91,19 - 35,Masculino,Vacunación,38246,N
Sudáfrica,12/11/2022,Cáncer,Cardiovascular,8.8;51.04,61+,Ambos,Medicación,33875,S
China,15/11/2020,Enfermedad de Parkinson,Neurológica,7.83;97.68,61+,Masculino,Terapia,12152,S
China,28/03/2024,Tuberculosis,Neurológica,5.75;75.22,61+,Femenino,Medicación,5745,S
Sudáfrica,16/10/2022,Rabia,Cardiovascular,2.65;88.01,61+,Femenino,Medicación,18460,N
Alemania,02/12/2021,Dengue,Crónica,6.81;73.49,35+,Masculino,Medicación,26958,N
EEUU,03/01/2022,Hipertensión,Bacteriana,4.6;87.38,19 - 35,Ambos,Vacunación,20322,N
Rusia,01/08/2020,Ébola,Cardiovascular,2.75;64.55,35+,Ambos,Cirugía,631,N
Rusia,21/03/2022,Asma,Cardiovascular,2.67;70.51,19 - 35,Ambos,Vacunación,44749,S
Francia,17/06/2023,Dengue,Infecciosa,4.92;62.46,61+,Masculino,Terapia,26136,S
EEUU,05/12/2024,Enfermedad de Parkinson,Bacteriana,3.76;78.7,61+,Femenino,Vacunación,8817,N
Francia,04/04/2020,Gripe,Parasitaria,9.92;62.34,19 - 35,Masculino,Terapia,10725,N
Rusia,02/10/2023,Poliomielitis,Neurológica,9.68;57.49,19 - 35,Ambos,Terapia,4811,N
Arabia Saudita,20/03/2024,Lepra,Genética,5.63;83.08,35+,Ambos,Terapia,22004,S
